Месец,Број/Површина ( во m2 ),"Видови објекти од високоградба, број/површина ( во m2 )",value
2010М01,Број,11 Станови во станбени објекти (згради),195
2010М01,Број,111 Станови во објекти (згради) со еден стан,51
2010М01,Број,112 Станови во објекти (згради) со два и повеќе стана,144
2010М01,Број,12 Нестанбени згради,21
2010М01,Број,122 Деловни згради,2
2010М01,Број,123 Згради во трговијата на големо и на мало,5
2010М01,Број,124 Згради за сообраќај и други комуникации,1
2010М01,Број,125 Индустриски згради и складишта,6
2010М01,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2010М01,Број,127 Други нестанбени згради,5
2010М02,Број,11 Станови во станбени објекти (згради),300
2010М02,Број,111 Станови во објекти (згради) со еден стан,73
2010М02,Број,112 Станови во објекти (згради) со два и повеќе стана,227
2010М02,Број,12 Нестанбени згради,30
2010М02,Број,121 Хотели и слични згради,4
2010М02,Број,123 Згради во трговијата на големо и на мало,8
2010М02,Број,124 Згради за сообраќај и други комуникации,1
2010М02,Број,125 Индустриски згради и складишта,9
2010М02,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2010М02,Број,127 Други нестанбени згради,7
2010М03,Број,11 Станови во станбени објекти (згради),248
2010М03,Број,111 Станови во објекти (згради) со еден стан,75
2010М03,Број,112 Станови во објекти (згради) со два и повеќе стана,173
2010М03,Број,12 Нестанбени згради,34
2010М03,Број,121 Хотели и слични згради,1
2010М03,Број,122 Деловни згради,4
2010М03,Број,123 Згради во трговијата на големо и на мало,13
2010М03,Број,124 Згради за сообраќај и други комуникации,1
2010М03,Број,125 Индустриски згради и складишта,5
2010М03,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2010М03,Број,127 Други нестанбени згради,8
2010М04,Број,11 Станови во станбени објекти (згради),662
2010М04,Број,111 Станови во објекти (згради) со еден стан,83
2010М04,Број,112 Станови во објекти (згради) со два и повеќе стана,579
2010М04,Број,12 Нестанбени згради,31
2010М04,Број,121 Хотели и слични згради,1
2010М04,Број,123 Згради во трговијата на големо и на мало,15
2010М04,Број,124 Згради за сообраќај и други комуникации,2
2010М04,Број,125 Индустриски згради и складишта,7
2010М04,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2010М04,Број,127 Други нестанбени згради,4
2010М05,Број,11 Станови во станбени објекти (згради),318
2010М05,Број,111 Станови во објекти (згради) со еден стан,74
2010М05,Број,112 Станови во објекти (згради) со два и повеќе стана,244
2010М05,Број,12 Нестанбени згради,33
2010М05,Број,122 Деловни згради,3
2010М05,Број,123 Згради во трговијата на големо и на мало,14
2010М05,Број,124 Згради за сообраќај и други комуникации,1
2010М05,Број,125 Индустриски згради и складишта,6
2010М05,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",4
2010М05,Број,127 Други нестанбени згради,5
2010М06,Број,11 Станови во станбени објекти (згради),379
2010М06,Број,111 Станови во објекти (згради) со еден стан,88
2010М06,Број,112 Станови во објекти (згради) со два и повеќе стана,291
2010М06,Број,12 Нестанбени згради,27
2010М06,Број,121 Хотели и слични згради,3
2010М06,Број,122 Деловни згради,2
2010М06,Број,123 Згради во трговијата на големо и на мало,8
2010М06,Број,124 Згради за сообраќај и други комуникации,1
2010М06,Број,125 Индустриски згради и складишта,7
2010М06,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2010М06,Број,127 Други нестанбени згради,5
2010М07,Број,11 Станови во станбени објекти (згради),410
2010М07,Број,111 Станови во објекти (згради) со еден стан,82
2010М07,Број,112 Станови во објекти (згради) со два и повеќе стана,328
2010М07,Број,12 Нестанбени згради,27
2010М07,Број,123 Згради во трговијата на големо и на мало,11
2010М07,Број,124 Згради за сообраќај и други комуникации,1
2010М07,Број,125 Индустриски згради и складишта,5
2010М07,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",3
2010М07,Број,127 Други нестанбени згради,7
2010М08,Број,11 Станови во станбени објекти (згради),492
2010М08,Број,111 Станови во објекти (згради) со еден стан,85
2010М08,Број,112 Станови во објекти (згради) со два и повеќе стана,407
2010М08,Број,12 Нестанбени згради,34
2010М08,Број,123 Згради во трговијата на големо и на мало,22
2010М08,Број,124 Згради за сообраќај и други комуникации,1
2010М08,Број,125 Индустриски згради и складишта,2
2010М08,Број,127 Други нестанбени згради,9
2010М09,Број,11 Станови во станбени објекти (згради),541
2010М09,Број,111 Станови во објекти (згради) со еден стан,85
2010М09,Број,112 Станови во објекти (згради) со два и повеќе стана,456
2010М09,Број,12 Нестанбени згради,43
2010М09,Број,121 Хотели и слични згради,1
2010М09,Број,122 Деловни згради,2
2010М09,Број,123 Згради во трговијата на големо и на мало,17
2010М09,Број,124 Згради за сообраќај и други комуникации,2
2010М09,Број,125 Индустриски згради и складишта,11
2010М09,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2010М09,Број,127 Други нестанбени згради,8
2010М10,Број,11 Станови во станбени објекти (згради),273
2010М10,Број,111 Станови во објекти (згради) со еден стан,67
2010М10,Број,112 Станови во објекти (згради) со два и повеќе стана,206
2010М10,Број,12 Нестанбени згради,34
2010М10,Број,122 Деловни згради,1
2010М10,Број,123 Згради во трговијата на големо и на мало,12
2010М10,Број,124 Згради за сообраќај и други комуникации,4
2010М10,Број,125 Индустриски згради и складишта,6
2010М10,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",7
2010М10,Број,127 Други нестанбени згради,4
2010М11,Број,11 Станови во станбени објекти (згради),822
2010М11,Број,111 Станови во објекти (згради) со еден стан,82
2010М11,Број,112 Станови во објекти (згради) со два и повеќе стана,740
2010М11,Број,12 Нестанбени згради,28
2010М11,Број,121 Хотели и слични згради,2
2010М11,Број,123 Згради во трговијата на големо и на мало,15
2010М11,Број,124 Згради за сообраќај и други комуникации,3
2010М11,Број,125 Индустриски згради и складишта,4
2010М11,Број,127 Други нестанбени згради,4
2010М12,Број,11 Станови во станбени објекти (згради),858
2010М12,Број,111 Станови во објекти (згради) со еден стан,91
2010М12,Број,112 Станови во објекти (згради) со два и повеќе стана,767
2010М12,Број,12 Нестанбени згради,54
2010М12,Број,121 Хотели и слични згради,1
2010М12,Број,122 Деловни згради,1
2010М12,Број,123 Згради во трговијата на големо и на мало,25
2010М12,Број,124 Згради за сообраќај и други комуникации,3
2010М12,Број,125 Индустриски згради и складишта,8
2010М12,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",11
2010М12,Број,127 Други нестанбени згради,5
2011М01,Број,11 Станови во станбени објекти (згради),265
2011М01,Број,111 Станови во објекти (згради) со еден стан,56
2011М01,Број,112 Станови во објекти (згради) со два и повеќе стана,209
2011М01,Број,12 Нестанбени згради,22
2011М01,Број,123 Згради во трговијата на големо и на мало,8
2011М01,Број,124 Згради за сообраќај и други комуникации,1
2011М01,Број,125 Индустриски згради и складишта,10
2011М01,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2011М01,Број,127 Други нестанбени згради,1
2011М02,Број,11 Станови во станбени објекти (згради),376
2011М02,Број,111 Станови во објекти (згради) со еден стан,39
2011М02,Број,112 Станови во објекти (згради) со два и повеќе стана,337
2011М02,Број,12 Нестанбени згради,27
2011М02,Број,121 Хотели и слични згради,1
2011М02,Број,123 Згради во трговијата на големо и на мало,14
2011М02,Број,125 Индустриски згради и складишта,5
2011М02,Број,127 Други нестанбени згради,7
2011М03,Број,11 Станови во станбени објекти (згради),382
2011М03,Број,111 Станови во објекти (згради) со еден стан,41
2011М03,Број,112 Станови во објекти (згради) со два и повеќе стана,341
2011М03,Број,12 Нестанбени згради,26
2011М03,Број,122 Деловни згради,1
2011М03,Број,123 Згради во трговијата на големо и на мало,9
2011М03,Број,124 Згради за сообраќај и други комуникации,1
2011М03,Број,125 Индустриски згради и складишта,10
2011М03,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2011М03,Број,127 Други нестанбени згради,3
2011М04,Број,11 Станови во станбени објекти (згради),367
2011М04,Број,111 Станови во објекти (згради) со еден стан,61
2011М04,Број,112 Станови во објекти (згради) со два и повеќе стана,306
2011М04,Број,12 Нестанбени згради,26
2011М04,Број,121 Хотели и слични згради,1
2011М04,Број,123 Згради во трговијата на големо и на мало,14
2011М04,Број,125 Индустриски згради и складишта,8
2011М04,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2011М04,Број,127 Други нестанбени згради,1
2011М05,Број,11 Станови во станбени објекти (згради),729
2011М05,Број,111 Станови во објекти (згради) со еден стан,63
2011М05,Број,112 Станови во објекти (згради) со два и повеќе стана,666
2011М05,Број,12 Нестанбени згради,36
2011М05,Број,121 Хотели и слични згради,2
2011М05,Број,122 Деловни згради,2
2011М05,Број,123 Згради во трговијата на големо и на мало,13
2011М05,Број,124 Згради за сообраќај и други комуникации,1
2011М05,Број,125 Индустриски згради и складишта,12
2011М05,Број,127 Други нестанбени згради,6
2011М06,Број,11 Станови во станбени објекти (згради),615
2011М06,Број,111 Станови во објекти (згради) со еден стан,61
2011М06,Број,112 Станови во објекти (згради) со два и повеќе стана,554
2011М06,Број,12 Нестанбени згради,30
2011М06,Број,121 Хотели и слични згради,3
2011М06,Број,122 Деловни згради,1
2011М06,Број,123 Згради во трговијата на големо и на мало,10
2011М06,Број,124 Згради за сообраќај и други комуникации,3
2011М06,Број,125 Индустриски згради и складишта,10
2011М06,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2011М06,Број,127 Други нестанбени згради,2
2011М07,Број,11 Станови во станбени објекти (згради),697
2011М07,Број,111 Станови во објекти (згради) со еден стан,48
2011М07,Број,112 Станови во објекти (згради) со два и повеќе стана,649
2011М07,Број,12 Нестанбени згради,31
2011М07,Број,122 Деловни згради,1
2011М07,Број,123 Згради во трговијата на големо и на мало,7
2011М07,Број,124 Згради за сообраќај и други комуникации,1
2011М07,Број,125 Индустриски згради и складишта,15
2011М07,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",3
2011М07,Број,127 Други нестанбени згради,4
2011М08,Број,11 Станови во станбени објекти (згради),558
2011М08,Број,111 Станови во објекти (згради) со еден стан,66
2011М08,Број,112 Станови во објекти (згради) со два и повеќе стана,492
2011М08,Број,12 Нестанбени згради,32
2011М08,Број,121 Хотели и слични згради,1
2011М08,Број,122 Деловни згради,1
2011М08,Број,123 Згради во трговијата на големо и на мало,13
2011М08,Број,125 Индустриски згради и складишта,13
2011М08,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2011М08,Број,127 Други нестанбени згради,2
2011М09,Број,11 Станови во станбени објекти (згради),676
2011М09,Број,111 Станови во објекти (згради) со еден стан,57
2011М09,Број,112 Станови во објекти (згради) со два и повеќе стана,619
2011М09,Број,12 Нестанбени згради,32
2011М09,Број,121 Хотели и слични згради,1
2011М09,Број,123 Згради во трговијата на големо и на мало,15
2011М09,Број,125 Индустриски згради и складишта,14
2011М09,Број,127 Други нестанбени згради,2
2011М10,Број,11 Станови во станбени објекти (згради),507
2011М10,Број,111 Станови во објекти (згради) со еден стан,79
2011М10,Број,112 Станови во објекти (згради) со два и повеќе стана,428
2011М10,Број,12 Нестанбени згради,34
2011М10,Број,121 Хотели и слични згради,1
2011М10,Број,122 Деловни згради,2
2011М10,Број,123 Згради во трговијата на големо и на мало,8
2011М10,Број,124 Згради за сообраќај и други комуникации,2
2011М10,Број,125 Индустриски згради и складишта,17
2011М10,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2011М10,Број,127 Други нестанбени згради,2
2011М11,Број,11 Станови во станбени објекти (згради),496
2011М11,Број,111 Станови во објекти (згради) со еден стан,64
2011М11,Број,112 Станови во објекти (згради) со два и повеќе стана,432
2011М11,Број,12 Нестанбени згради,42
2011М11,Број,122 Деловни згради,1
2011М11,Број,123 Згради во трговијата на големо и на мало,16
2011М11,Број,124 Згради за сообраќај и други комуникации,2
2011М11,Број,125 Индустриски згради и складишта,21
2011М11,Број,127 Други нестанбени згради,2
2011М12,Број,11 Станови во станбени објекти (згради),618
2011М12,Број,111 Станови во објекти (згради) со еден стан,76
2011М12,Број,112 Станови во објекти (згради) со два и повеќе стана,542
2011М12,Број,12 Нестанбени згради,30
2011М12,Број,121 Хотели и слични згради,2
2011М12,Број,123 Згради во трговијата на големо и на мало,7
2011М12,Број,124 Згради за сообраќај и други комуникации,2
2011М12,Број,125 Индустриски згради и складишта,12
2011М12,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",4
2011М12,Број,127 Други нестанбени згради,3
2012М01,Број,11 Станови во станбени објекти (згради),475
2012М01,Број,111 Станови во објекти (згради) со еден стан,46
